cocktail,measure,ingredient,unit
Heather Blush,1.0, Blended Scotch Whiskey,Fl Oz
Jack Maples,2.0, Applejack,Fl Oz
Brandy Alexander,0.5, Creme de Cacao (Brown),Fl Oz
Vodka and Tonic,2.0, Vodka,Fl Oz
Apricot Cocktail,0.25, Juice of a Lemon,Fl Oz
Alexander Cocktail No. 2,1.0, Creme de Cacao (White),Fl Oz
After Dinner Cocktail,1.0, Apricot Flavored Brandy,Fl Oz
Harvest Moon,1.5, Straight rye whiskey,Fl Oz
Red Raider,1.0, Bourbon,Fl Oz
Vodka and Apple Juice,2.0, Vodka,Fl Oz
Mint Julep (Southern Style),5,springs mint,garnish
Limestone,1.5, Bourbon,Fl Oz
Grounds For Divorce,1.5, Straight rye whiskey,Fl Oz
Gentleman's Cocktail,1.5, Bourbon,Fl Oz
Dixie Julep,1.0, Powdered Sugar,Fl Oz
Victory Collins,1.5, Vodka,Fl Oz
Buddy's Favorite,1.5, Bourbon,Fl Oz
Bourbon On The Rocks,2.0, Bourbon,Fl Oz
Bourbon Cobbler,2.5,Bourbon,Fl Oz
Bourbon and Water,2.0, Bourbon,Fl Oz
Greenpoint,2.0, Straight rye whiskey,Fl Oz
Yellowjacket,2.0, Pineapple Juice,Fl Oz
Velvet Peach Hammer,1.75, Vodka,Fl Oz
Grandfather,1.0, Bourbon whiskey,Fl Oz
Goldrush,2.0, Bourbon whiskey,Fl Oz
Sake Martini,1.0, Sake,Fl Oz
Godfather,1.5, Blended Scotch Whiskey,Fl Oz
Jack-In-The-Box,1.0, Applejack,Fl Oz
Saronno,1.0, Amaretto di Saronno,Fl Oz
Saronno Colada (Nutty Colada),3.0, Amaretto di Saronno,Fl Oz
Saronno Mist,1.5, Amaretto di Saronno,Fl Oz
Saronno Rose,1.5, Amaretto di Saronno,Fl Oz
Gilchrist,1.5, Blended Scotch Whiskey,Fl Oz
Frisco Sour,2.0, Bourbon or Rye Whiskey,Fl Oz
Fratelli Cocktail,2.0, Straight rye whiskey,Fl Oz
Francis The Mule,2.0, Bourbon whiskey,Fl Oz
Fox River Cocktail,2.0, Bourbon or Rye Whiskey,Fl Oz
