cocktail,measure,ingredient,unit
Barbary Coast Cocktail,0.5, Old Mr. Boston Dry Gin,Fl Oz
The Winkle,3.0, Fresh sage leaves,Fl Oz
The Wink,1 splash, Absinthe,garnish
Will Rogers,1.5, Gin,Fl Oz
Brandy Vermouth Cocktail,2.0, Brandy,Fl Oz
White Spider,1.0, Gin,Fl Oz
White Lady,1.5, Gin,Fl Oz
Western Rose,1.0, Gin,Fl Oz
May Blosson Fizz,1.0, Grenadine,Fl Oz
Wembly Cocktail,1.5, Gin,Fl Oz
Apple Pie Cocktail,0.75, Old Mr. Boston Rum,Fl Oz
Water Lily,0.75, Gin,Fl Oz
Wallis Blue Cocktail,1.0,"Lime wedge, superfine sugar",garnish
Minnehaha Cocktail,0.25, Juice of Orange,Fl Oz
Wallick Cocktail,1.5, Gin,Fl Oz
Waikiki Beachcomber,0.75, Gin,Fl Oz
Vow Of Silence,1.5, Gin,Fl Oz
Gauguin,1.0, Passion Fruit Syrup,Fl Oz
Fort Lauderdale,0.5, Sweet Vermouth,Fl Oz
Apple Pie,1.0, Cinnamon schnapps,Fl Oz
Cuban Cocktail No. 1,0.5, Powdered Sugar,Fl Oz
Cool Carlos,2.0, Cranberry Juice,Fl Oz
John Collins,1.0, Fresh lemon juice,Fl Oz
Cherry Rum,1.5, cherry-flavored brandy,Fl Oz
Casa Blanca,1.5, Lime Juice,Fl Oz
Caribbean Champagne,0.5, Creme de banana,Fl Oz
Amber Amour,0.25, Fresh lemon juice,Fl Oz
The Joe Lewis,1.0, Fresh carrot juice,Fl Oz
Bacardi Cocktail,0.5, Juice of a Lime,Fl Oz
Apple Pie No. 1,0.75, Sweet Vermouth,Fl Oz
Yolanda,0.5, Gin,Fl Oz
Yellow Rattler,1.0, Orange Juice,Fl Oz
Why Not?,1.0, Apricot Flavored Brandy,Fl Oz
Amaretto Stinger,0.75, White creme de menthe,Fl Oz
What The Hell,1.0, Dry Vermouth,Fl Oz
Webster Cocktail,1.5, Apricot Flavored Brandy,Fl Oz
Union Jack Cocktail,1.5, Gin,Fl Oz
Jocose Julep,0.5, Green creme de menthe,Fl Oz
Trinity Cocktail,0.75, Dry Vermouth,Fl Oz
Three Stripes Cocktail,0.5, Dry Vermouth,Fl Oz
Tanq-A-Rita,3.0, Margarita Mix,Fl Oz
Amaretto Sour,0.75, Fresh lemon juice,Fl Oz
Tailspin Cocktail,0.75, Sweet Vermouth,Fl Oz
Sweet Patootie Cocktail,0.5, Triple Sec,Fl Oz
Sunshine Cocktail,1.5, Gin,Fl Oz
Spring Feeling Cocktail,0.5, Green Chartreuse,Fl Oz
Sphinx Cocktail,1.5, Sweet Vermouth,Fl Oz
Jitterbug Sour,0.5, Benedictine,Fl Oz
Southern Gin Cocktail,2.0, Orange Bitters,Fl Oz
Society Cocktail,0.75, Dry Vermouth,Fl Oz
Snyder,0.5, Dry Vermouth,Fl Oz
Smiler Cocktail,0.5, Dry Vermouth,Fl Oz
Smile Cocktail,1.0, Gin,Fl Oz
Amaretto Rose,0.5, Fresh lemon juice,Fl Oz
Sand-Martin Cocktail,1.5, Sweet Vermouth,Fl Oz
Irish Whiskey Highball,1.0, Ginger ale or soda water,Fl Oz
Japanese,0.5, orgeat or almond syrup,Fl Oz
Roselyn Cocktail,1.5, Gin,Fl Oz
Resolute Cocktail,0.5, Apricot Flavored Brandy,Fl Oz
Racquet Club Cocktail,0.75, Dry Vermouth,Fl Oz
Amaretto And Cream,1.5, half-and-half,Fl Oz
Pollyanna Cocktai,3.0, Pineapple ,Fl Oz
Plaza Cocktail,0.75, Dry Vermouth,Fl Oz
Irish Whiskey Cocktail,0.5, Triple Sec,Fl Oz
Absinthe Special Cocktail,0.25, Simple Syrup,Fl Oz
Nineteenth Hole,1.0, Dry Vermouth,Fl Oz
Montreal Club Bouncer,0.5, Anisette,Fl Oz
Monte Carlo Imperial Highball,0.5, White creme de menthe,Fl Oz
Irish Shillelagh,1.0, Light Rum,Fl Oz
Melon Cocktail,0.25, Lemon Juice,Fl Oz
Martini (Medium),0.5, Dry Vermouth,Fl Oz
Martini (Dry) (5-to-1),0.3333333333333333, Dry Vermouth,Fl Oz
Mamie's Sister,2.0, Gin,Fl Oz
Irish Rickey,0.5, Fresh Lime Juice,Fl Oz
Maiden's Prayer,0.5, Triple Sec,Fl Oz
Lone Tree Cocktail,1.5, Gin,Fl Oz
London Buck,0.5, Juice of a Lemon,Fl Oz
Leap Frog Highball,2.0, Gin,Fl Oz
Incider Cocktail,4.0, Apple cider,Fl Oz
Kup's Indispensable Cocktail,0.5, Dry Vermouth,Fl Oz
Knock-Out Cocktail,0.75, Gin,Fl Oz
K. G. B. Cocktail,1.5, Gin,Fl Oz
Imperial Fizz,0.5, Light Rum,Fl Oz
Jeyplak Cocktail,0.75, Sweet Vermouth,Fl Oz
H. P. W. Cocktail,1.5, Sweet Vermouth,Fl Oz
I.A.P.,0.25, Fernet-Branca,Fl Oz
Hotel Plaza Cocktail,0.75, Dry Vermouth,Fl Oz
Hoffman House Cocktail,1.5, Gin,Fl Oz
Hawaiin Cocktail,1.0, Pineapple Juice,Fl Oz
White Russian,1.0, Coffee liqueur,Fl Oz
Greyhound,5.0, Grapefruit Juice,Fl Oz
Green Devil,1.5, Green creme de menthe,Fl Oz
Greenback,1.0, Green creme de menthe,Fl Oz
Grapefruit Cocktail,1.0, Gin,Fl Oz
Hotel D'alsace,2.0, Irish Whiskey,Fl Oz
Jamaica Granito,1.0, Triple Sec,Fl Oz
Gin Sling,1.0, Water,Fl Oz
Gin Milk Punch,2.0, Gin,Fl Oz
Horse's Neck (With A Kick),2.0, Bourbon whiskey,Fl Oz
Gin and It,1.0, Sweet Vermouth,Fl Oz
Gin Cocktail,2.0, Bitters,Fl Oz
West Side,0.75, Fresh lemon juice,Fl Oz
Gimlet ,1.0, Powdered Sugar,Fl Oz
Free Silver,0.5, Powdered Sugar,Fl Oz
Frankenjack Cocktail,0.75, Dry Vermouth,Fl Oz
Fog Horn,1.5, Gin & ginger ale,Fl Oz
Flying Dutchman,1.0, Triple Sec,Fl Oz
Hoot Mon Cocktail,0.75, Sweet Vermouth,Fl Oz
Fifty-Fifty Cocktail,1.5, Dry Vermouth,Fl Oz
Favorite Cocktail,0.75, Dry Vermouth,Fl Oz
Farmer's Cocktail,0.5, Dry Vermouth,Fl Oz
Warsaw Cocktail,0.5, Blackberry-flavored brandy,Fl Oz
Emerald Isle Cocktail,1.0, Green creme de menthe,Fl Oz
Du Barry Cocktail,0.75, Dry Vermouth,Fl Oz
Dry Martini (5-to-1),0.3333333333333333, Dry Vermouth,Fl Oz
Dixie Cocktail,1.0, Anisette,Fl Oz
Delmonico No. 2,1.0, Dry Vermouth,Fl Oz
Hole-In-One,0.75, Dry Vermouth,Fl Oz
Vodka Stinger,1.0, White creme de menthe,Fl Oz
Caruso,1.0, Dry Vermouth,Fl Oz
Bulldog Highball,2.0, Gin,Fl Oz
Brown Cocktail,0.75, Light Rum,Fl Oz
Bronx Terrace Cocktail,1.5, Dry Vermouth,Fl Oz
Bronx Cocktail (Dry),1.0, Dry Vermouth,Fl Oz
Hill Dog,0.5, Grand Marnier,Fl Oz
Blue Devil Cocktail,1/2,Juice of Lemon or Lime,garnish
Blue Canary,3.0, Grapefruit Juice,Fl Oz
Blue Bird,0.5, Triple Sec,Fl Oz
Bloodhound Cocktail,0.5, Sweet Vermouth,Fl Oz
Billy Taylor,2.0, Gin,Fl Oz
Bijou Cocktail,0.75, Green Chartreuse,Fl Oz
Bermuda Rose ,1.5, Apricot Flavored Brandy,Fl Oz
Vodka Sour,2.0, Vodka,Fl Oz
Apricot Anisette Collins,0.5, Apricot Flavored Brandy,Fl Oz
Alexander's Sister Cocktail,1.0, Green creme de menthe,Fl Oz
Highland Cooler,0.5, Simple Syrup,Fl Oz
Alexander Cocktail No. 1,1.0, Creme de Cacao (White),Fl Oz
Adam and Eve,1.0, Gin,Fl Oz
Vodka Sling,1.0, Fresh lemon juice,Fl Oz
Jack Rose Cocktail,0.5, Fresh Lime Juice,Fl Oz
Tempter Cocktail,1.0, Apricot Flavored Brandy,Fl Oz
Special Rough Cocktail,1.5, Brandy,Fl Oz
Vodka Grasshopper,0.75, Green creme de menthe,Fl Oz
Singapore Sling,1.0, Powdered Sugar,Fl Oz
Saratoga Cocktail,2.0, Bitters,Fl Oz
High Cotton,0.5, Pimm's No. 1 Cup,Fl Oz
Polonaise,1.0, Blackberry-flavored brandy,Fl Oz
Vodka Gimlet,1.0, Fresh Lime Juice,Fl Oz
Merry Widow Cocktail No. 2,1.25, cherry-flavored brandy,Fl Oz
Lugger,1.0, Apple Brandy,Fl Oz
Jamaica Hop,1.0, Creme de Cacao (White),Fl Oz
Hebrides,0.5, Maraschino liqueur,Fl Oz
Hennessy Martini,0.5, Lemon Juice,Fl Oz
Vodka Daisy,1.0, Fresh lemon juice,Fl Oz
Heavenly Dram,0.5, Pedro Ximenez sherry,Fl Oz
Classic Cocktail,1.5, Curacao,Fl Oz
Cherry Sling,0.5, Juice of a Lemon,Fl Oz
Cherry Fizz,2.0, cherry-flavored brandy,Fl Oz
Vodka Cooler,0.5, Simple Syrup,Fl Oz
Carrol Cocktail,0.75, Sweet Vermouth,Fl Oz
Button Hook Cocktail,0.5, Apricot Flavored Brandy,Fl Oz
Bull's Eye,2.0, Hard cider,Fl Oz
Brantini,1.0, Gin,Fl Oz
Heather's Kiss,0.5, Fresh lemon juice,Fl Oz
Brandy Squirt,1.0, Powdered Sugar,Fl Oz
Brandy and Soda,1, Club Soda,garnish
Brandy Milk Punch,2.0, Brandy,Fl Oz
Vodka Collins,0.75, Fresh lemon juice,Fl Oz
Brandy Crusta Cocktail,1.0, Bitters,Fl Oz
Heather Blush,1.0, Strawberry liqueur,Fl Oz
Jack Maples,1.0, maple syrup (grade B or medium-amber),Fl Oz
Brandy Alexander,0.5, Brandy,Fl Oz
Vodka and Tonic,1, Tonic water,garnish
Apricot Cocktail,0.25, Juice of Orange,Fl Oz
Alexander Cocktail No. 2,1.0, Brandy,Fl Oz
After Dinner Cocktail,1.0, Triple Sec,Fl Oz
Harvest Moon,1.0, Lillet Blanc,Fl Oz
Red Raider,0.5, Triple Sec,Fl Oz
Vodka and Apple Juice,1, Apple juice,garnish
Mint Julep (Southern Style),1.0, Powdered Sugar,Fl Oz
Limestone,1, Collins Mix,garnish
Grounds For Divorce,0.75, Kirschwasser,Fl Oz
Gentleman's Cocktail,0.5, Brandy,Fl Oz
Dixie Julep,2.5, Bourbon,Fl Oz
Victory Collins,2.0, Unsweetened Grape Juice,Fl Oz
Buddy's Favorite,6.0, Cold Water,Fl Oz
Bourbon Cobbler,1.0, Lemon Juice,Fl Oz
Bourbon and Water,4.0, Water,Fl Oz
Greenpoint,0.5, Yellow Chartreuse,Fl Oz
Yellowjacket,2.0, Orange Juice,Fl Oz
Velvet Peach Hammer,0.75, Peach schnapps,Fl Oz
Grandfather,1.0, Applejack,Fl Oz
Goldrush,0.75, Fresh lemon juice,Fl Oz
Sake Martini,3.0, Mr. Boston Gin,Fl Oz
Godfather,0.75, Amaretto,Fl Oz
Jack-In-The-Box,1.0, Pineapple Juice,Fl Oz
Saronno,1.0, Mr. Boston Five Star Brandy,Fl Oz
Saronno Colada (Nutty Colada),3.0, Coconut Milk,Fl Oz
Saronno Rose,0.5, Roses Lime Juice,Fl Oz
Gilchrist,0.75, Pear brandy,Fl Oz
Frisco Sour,0.75, Fresh lemon juice,Fl Oz
Fratelli Cocktail,0.5, Sweet Vermouth,Fl Oz
Francis The Mule,0.5, Coffee liqueur,Fl Oz
Fox River Cocktail,0.5, Dark creme de cacao,Fl Oz
Flying Scotchman,1.0, Sweet Vermouth,Fl Oz
The Final Ward,0.75, Maraschino liqueur,Fl Oz
Martini ,0.75, Dry Vermouth,Fl Oz
Fancy Whiskey,1.0, Angostura Bitters,Fl Oz
Mandarine Sour,1.0, Lemon Juice,Fl Oz
Underneath The Mango Tree,1.0, Mango-flavored vodka,Fl Oz
Fancy-Free Cocktail,0.5, Maraschino liqueur,Fl Oz
Honeymoon Cocktail,0.75, Benedictine,Fl Oz
Twister,0.5, Fresh Lime Juice,Fl Oz
Everybody's Irish Cocktail,1.0, Green creme de menthe,Fl Oz
Trident,0.5, Cynar,Fl Oz
Top Banana,1.0, Creme de banana,Fl Oz
Emperor Norton's Mistress,1.5, Bourbon whiskey,Fl Oz
Easterner,1.0, Fresh grapefruit juice,Fl Oz
Toasted Drop,1.5, Citrus-flavored vodka,Fl Oz
Eastern Sour,1.5, Orange juice,Fl Oz
K. C. B. Cocktail,1.5, Mr. Boston Gin,Fl Oz
Easter Elchies,0.5, Cherry Heering,Fl Oz
Dufftown Flip,0.5, Port,Fl Oz
Harvard Cooler,0.5, Simple Syrup,Fl Oz
The Duboudreau Cocktail,0.75, Dubonnet Rouge,Fl Oz
Irish Whisky ,0.5, Absinthe Substitute,Fl Oz
Dubliner,0.5, Sweet Vermouth,Fl Oz
Double Standard Sour,0.75, Gin,Fl Oz
Dixie Whiskey Cocktail,0.5, White creme de menthe,Fl Oz
Hill Billy Highball,1, Mountain Dew,garnish
The Titian,0.5, Grand Marnier,Fl Oz
Tiger Tanaka,1.0, Slice peeled fresh ginger,Fl Oz
Grenadine Rickey,1.5, Grenadine,Fl Oz
Thyme Collins,1.0, Mint syrup,Fl Oz
Tabby Cat,1.0, Orange-flavored vodka,Fl Oz
God Child,1.0, Mr. Boston Vodka,Fl Oz
Sweet Maria,0.5, Amaretto,Fl Oz
Dirty Harry,2.0, Straight rye whiskey,Fl Oz
Harvard Cocktail,0.75, Sweet Vermouth,Fl Oz
Gin and Milk Punch,2.0, Mr. Boston Gin,Fl Oz
Surf Rider,0.5, Sweet Vermouth,Fl Oz
Dinah Cocktail,0.75, Fresh lemon juice,Fl Oz
Tea Saronno,1.5, Amaretto di Saronno,Fl Oz
The Summer Of Love,2.0, Rose water,Fl Oz
Devil's Soul,0.5, Mezcal,Fl Oz
Deshler,0.5, Dubonnet Rouge,Fl Oz
T.N.T. No. 1,1.5, Absinthe Substitute,Fl Oz
Stupid Cupid,0.5, Sloe gin,Fl Oz
Derby,0.25, Benedictine,Fl Oz
Stockholm 75,0.75, Citrus-flavored vodka,Fl Oz
The Delmarva Cocktail,0.5, Dry Vermouth,Fl Oz
Sputnik,1.25, Peach schnapps,Fl Oz
Gotham,3.0, Brandy,Fl Oz
De La Louisiane,0.75, Sweet Vermouth,Fl Oz
The Debonair,1.0, Ginger liqueur,Fl Oz
Soviet,0.5, Amontillado sherry,Fl Oz
Daisy Dueller,0.75, Fresh lemon juice,Fl Oz
Sonic Blaster,0.5, Light Rum,Fl Oz
Creole Lady,1.5, Madeira,Fl Oz
Rum Coooler,2.0, carbonated water,Fl Oz
Siberian Sleighride,0.75, White creme de cacao,Fl Oz
Cotton Club Flip,0.5, Honey-Currant Syrup,Fl Oz
Golden Dawn,0.5, Apricot-Flavored Brandy,Fl Oz
Sidecar,1.0, Triple Sec,Fl Oz
Shalom,1.0, Madeira,Fl Oz
Commodore Cocktail,0.75, White creme de cacao,Fl Oz
Sea Breeze,4.0, Cranberry Juice,Fl Oz
Screwdriver,5.0, Orange juice,Fl Oz
Coffee Old-Fashioned,0.75, Simple Syrup,Fl Oz
Dry Martini,0.3333333333333333, Dry Vermouth,Fl Oz
Salty Dog,1.5, Vodka,Fl Oz
Dr. Cook,1.0, Lemon Juice,Fl Oz
Dillatini Cocktail,0.75, Dry Vermouth,Fl Oz
Chi-Town Flip,0.75, Tawny port,Fl Oz
Chef's Pain,0.75, Fresh Lime Juice,Fl Oz
Sampan Shipwreck A,0.5, Orange liqueur,Fl Oz
Chas,0.25, Amaretto,Fl Oz
Goat's Delight,1.5, Kirschwasser,Fl Oz
Russian Bear Cocktail,0.5, White creme de cacao,Fl Oz
Character Development,0.5, Coconut liqueur,Fl Oz
Ruby Red,1.5, Triple Sec,Fl Oz
Chaplin,0.75, Dry Sherry,Fl Oz
Rouxby Red,1.5, Grapefruit-flavored vodka,Fl Oz
Rosemary Clementine Sparkle,1.5, Vodka,Fl Oz
Chapel Hill,0.5, Triple Sec,Fl Oz
Robin's Nest,1.0, Cranberry Juice,Fl Oz
Chancellor Cocktail,0.5, Dry Vermouth,Fl Oz
Cafe di Saronno,1, Hot Black Coffee,garnish
Carre Reprise,1.0, Cognac,Fl Oz
Gilroy Cocktail,0.75, Gin,Fl Oz
Redhead Martini,0.75, Fresh lemon juice,Fl Oz
Red Apple,1.0, Apple juice,Fl Oz
Canal Street Daisy,1.0, Orange juice,Fl Oz
Canadian Cocktail,0.5, Triple Sec,Fl Oz
Purple Ruby,1.5, Pomegranate juice,Fl Oz
Canadian Cherry,1.5, Canadian whisky,Fl Oz
Orange Smile,1.0, Juice of Orange,Fl Oz
Purple Passion Iced Tea,0.5, Light Rum,Fl Oz
Canadian Breeze,0.75, Pineapple Juice,Fl Oz
Purple Passion,2.0, Grapefruit Juice,Fl Oz
Cameron's Kick Cocktail,0.75, Irish Whiskey,Fl Oz
Georgia Mint Julep,0.25, Simple Syrup,Fl Oz
California Lemonade,1.0, Fresh lemon juice,Fl Oz
Boston Side Car ,0.75, Mr. Boston Rum,Fl Oz
Cablegram,1.0, Fresh lemon juice,Fl Oz
Bull And Bear,0.75, Orange curacao,Fl Oz
Brooklyn,0.5, Sweet Vermouth,Fl Oz
Brighton Punch,0.75, Brandy,Fl Oz
Bourbon Renewal,1.0, Fresh lemon juice,Fl Oz
Bourbon Highball,1, Ginger ale or soda water,garnish
Bourbon And Elder,0.75, Elderflower liqueur,Fl Oz
Bourbon Crusta,2.0, Bourbon whiskey,Fl Oz
Bourbon Cooler,0.5, Fresh lemon juice,Fl Oz
Froupe Cocktail,1.5, Sweet Vermouth,Fl Oz
Bourbon A La Creme,1.0, Dark creme de cacao,Fl Oz
The Bone,0.5, Fresh Lime Juice,Fl Oz
Bobby Burns Cocktail,1.5, Sweet Vermouth,Fl Oz
Bloody Scotsman,24.0, Tomato Juice,Fl Oz
White Cargo Cocktail,1.0, Mr. Boston Gin,Fl Oz
Blood and Sand,0.5, cherry-flavored brandy,Fl Oz
The Blinker,1.5, Grapefruit Juice,Fl Oz
Pike's Peak Cooler,0.5, Juice of a Lemon,Fl Oz
Blarney Stone Cocktail,0.5, Anisette,Fl Oz
Pacman,1.0, Grenadine,Fl Oz
Lemonade (Golden),2.0, Powdered Sugar,Fl Oz
Black Hawk,1.5, Sloe gin,Fl Oz
Lemonade (Egg),2.0, Powdered Sugar,Fl Oz
Bensonhurst,2.0, Straight rye whiskey,Fl Oz
Chocolate Daisy,0.5, Powdered Sugar,Fl Oz
The Beautiful Day,0.75, Rhubarb Syrup,Fl Oz
French Quarter,0.75, Lillet Blanc,Fl Oz
Creme de Gin Cocktail,0.5, White creme de menthe,Fl Oz
Creamy Screwdriver,1.0, Egg Yolk,Fl Oz
Creamy Orange,1.0, Cream sherry,Fl Oz
Creamsicle,1.5, Milk,Fl Oz
Cowboy Cocktail,1.0, Light cream,Fl Oz
Beals Cocktail,0.5, Dry Vermouth,Fl Oz
Coronation Cocktail,0.75, Dubonnet,Fl Oz
Cornell Cocktail,1.0, Maraschino,Fl Oz
Combo,1.0, Brandy,Fl Oz
Basin Street,0.75, Triple Sec,Fl Oz
Cole's Raspberry Cream,1.5, Raspberry Ice Cream,Fl Oz
Cognac Coupling,1.0, Tawny port,Fl Oz
Coffee Sour,1.0, Lemon Juice,Fl Oz
Coffee Flip,1.0, Powdered Sugar,Fl Oz
Coffee Cocktail,1.0, Powdered Sugar,Fl Oz
Purple Mask,1.0, Concord grape juice,Fl Oz
Clove Cocktail,0.5, Sloe gin,Fl Oz
Clover Leaf Cocktail,2.0, Grenadine,Fl Oz
Clover Club Cocktail,2.0, Grenadine,Fl Oz
Priority Cocktail,0.5, Calvados,Fl Oz
Clamato Cocktail,1.0, Clam Juice,Fl Oz
Cider Eggnog,1.0, Powdered Sugar,Fl Oz
Chocolate Soldier,0.75, Dubonnet,Fl Oz
Chocolate Flip,1.0, Powdered Sugar,Fl Oz
Chocolate Cocktail,1.5, Yellow Chartreuse,Fl Oz
Chicago Fizz,1.0, Powdered Sugar,Fl Oz
Pretty In Pink,0.5, Cranberry Juice,Fl Oz
Cherry Wine Cocktail,0.75, Vodka,Fl Oz
Cherry Flip,1.0, Powdered Sugar,Fl Oz
Cherry Cooler,1, Cola,garnish
Polynesian Cocktail,1.5, Vodka,Fl Oz
Chateau Briand's Rum Cow,1.0, Sugar,Fl Oz
Champagne Velvet,5.0, Chilled Champagne,Fl Oz
Pink Pussycat,2.0, Pineapple or grapefruit juice,Fl Oz
Back Porch Swizzle,0.5, Dry Vermouth,Fl Oz
Canadian Pineapple,1.0, Pineapple Juice,Fl Oz
Calm Voyage,0.5, Light Rum,Fl Oz
Pink Lemonade,0.25, Triple Sec,Fl Oz
Caledonia,1.0, Brandy,Fl Oz
Caf_ di Amaretto ,1.0, Amaretto,Fl Oz
Cafe De Paris Cocktail,1.0, Anis,Fl Oz
Aztec's Mark,0.5, White creme de cacao,Fl Oz
Fontainebleau Special,1.0, Anisette,Fl Oz
Suntan,2.0, Orange Juice,Fl Oz
Sunburn,2.0, Grapefruit Juice,Fl Oz
Suissesse Cocktail,1.0, Egg White,Fl Oz
Strawberry Sunries,0.5, Grenadine,Fl Oz
Autumn Leaves,0.75, Apple Brandy,Fl Oz
Pickled Pink,1.0, Aquavit,Fl Oz
Aquarius,0.5, cherry-flavored brandy,Fl Oz
Soul Kiss Cocktail,1.5, Dubonnet,Fl Oz
Pickled Martini,0.25, Dry Vermouth,Fl Oz
Sloe Gin Flip,1.0, Powdered Sugar,Fl Oz
Angel's Share,0.5, Amaro,Fl Oz
Silver Stallion Fizz,2.0, Gin,Fl Oz
Silver King Cocktail,0.25, Juice of a Lemon,Fl Oz
American Trilogy,1.0, Straight rye whiskey,Fl Oz
Silver Fizz,1.0, Powdered Sugar,Fl Oz
Sherry Twist Cocktail,0.5, Brandy,Fl Oz
Sherry Sangaree,1.0, Water,Fl Oz
Sherry Milk Punch,2.0, Cream sherry,Fl Oz
Petit Zinc,0.5, Triple Sec,Fl Oz
Sherry Flip,1.0, Powdered Sugar,Fl Oz
Sherry-and-Egg Cocktail,2.0, cream sherry,Fl Oz
Americana,0.5, Simple Syrup,Fl Oz
Allegheny,1.0, Dry Vermouth,Fl Oz
Sevilla Cocktail,1.0, Whole Egg,Fl Oz
September Morn Cocktail,1.0, Light Rum,Fl Oz
Peach Iced Tea,0.5, Orange curacao,Fl Oz
Fantasio Cocktail,0.75, Dry Vermouth,Fl Oz
Scotch Bird Flyer,1.0, Egg Yolk,Fl Oz
Algonquin,1.0, Dry Vermouth,Fl Oz
Savannah,1.0, Gin,Fl Oz
Pink Rose Fizz,1.0, Powdered Sugar,Fl Oz
Ninotchka Cocktail,0.5, White creme de cacao,Fl Oz
Prairie Oyster,1.0, Worcestershire Sauce,Fl Oz
Prairie Chicken,1.0, Whole Egg,Fl Oz
Pousse L'Amour,1.0, Egg Yolk,Fl Oz
Puerto Apple,0.75, Light Rum,Fl Oz
Akogare,0.75, Ginger syrup,Fl Oz
Prado,0.75, Lemon Juice,Fl Oz
Port Wine Flip,1.0, Powdered Sugar,Fl Oz
Port Wine Cobbler,2.0, carbonated water,Fl Oz
Nijinksy Blini,1.0, Peach schnapps,Fl Oz
Affinity Cocktail (whisky),1.0, Dry Vermouth,Fl Oz
Plain Vermouth Cocktail,1.0, Sweet Vermouth,Fl Oz
Ping-Pong Cocktail,1.0, Egg White,Fl Oz
Moscow Mule,0.5, Fresh Lime Juice,Fl Oz
Phoebe Snow,1.5, Brandy,Fl Oz
Affinity Cocktail,0.75, Maraschino liqueur,Fl Oz
Peggy Cocktail,1.5, Gin,Fl Oz
Peach Blow Fizz,1.0, Powdered Sugar,Fl Oz
Peach Blossom,0.5, Powdered Sugar,Fl Oz
Passion Mimosa,1, Chilled Champagne,garnish
Mocha Express,0.75, Irish cream liqueur,Fl Oz
Palmer Cocktail,1.0, Bitters,Fl Oz
Mr. 404,0.75, Elderflower liqueur,Fl Oz
Mountain Cocktail,0.25, Lemon Juice,Fl Oz
Morning Glory Fizz,1.0, Powdered Sugar,Fl Oz
Adderly Cocktail,0.75, Maraschino liqueur,Fl Oz
Fancy Brandy,0.25, Triple Sec,Fl Oz
Montreal Gin Sour,1.0, Lemon Juice,Fl Oz
Montezuma,1.0, Madeira,Fl Oz
Miss Jones,1.0, Fresh lemon juice,Fl Oz
Mint Gin Cocktail,1.0, White Port Wine,Fl Oz
Mint Collins,2.0, Mint-Flavored Gin,Fl Oz
Million-Dollar Cocktail,1.0, Grenadine,Fl Oz
Millionaire Cocktail,0.25, Grenadine,Fl Oz
Academic Review,0.5, Applejack,Fl Oz
Milk Punch,2.0, Blended whiskey,Fl Oz
Merry Widow Fizz,0.5, Juice of a Lemon,Fl Oz
May Blossom Fizz,0.5, Juice of a Lemon,Fl Oz
Mary Garden Cocktail,0.75, Dry Vermouth,Fl Oz
19th Century,0.75, Fresh lemon juice,Fl Oz
Manila Fizz,1.0, Whole Egg,Fl Oz
1626,0.75, Gingerbread liqueur,Fl Oz
Maracuya Mosquito,1.5, Vodka,Fl Oz
Madras,4.0, Cranberry Juice,Fl Oz
Absinthe Cocktail,2.0, Water,Fl Oz
Lychee Lucy,0.5, Lychee liqueur,Fl Oz
Vodka Martini,0.75, Dry Vermouth,Fl Oz
The Loop,0.5, White creme de cacao,Fl Oz
Long Island Iced Tea,0.75, Blanco tequila,Fl Oz
Fallen Leaves,0.75, Sweet Vermouth,Fl Oz
L'italienne,0.25, Lillet Blanc,Fl Oz
Rum Dubonnet,1.5, Dubonnet,Fl Oz
Ruby Fizz,1.0, Powdered Sugar,Fl Oz
Limoncello Manzanilla Marmalade Sour,0.75, Limoncello,Fl Oz
Royal Purple Punch,1,ginger ale,garnish
Royal Gin Fizz,1.0, Powdered Sugar,Fl Oz
Royal Cocktail,0.5, Juice of a Lemon,Fl Oz
Royal Clover Club Cocktail,1.0, Grenadine,Fl Oz
Lights On The Plaza,0.5, Fresh lemon juice,Fl Oz
Rococo,1.0, Orange Juice,Fl Oz
Rock & Rye Cooler,1.5, Vodka,Fl Oz
Rock & Rye Cocktail,1.0, White Port Wine,Fl Oz
Le Paradini,0.5, Raspberry-flavored liqueur,Fl Oz
Red Swizzle,1.0, Powdered Sugar,Fl Oz
Lemon Drop,1.5, lemon-flavored vodka,Fl Oz
Rebel Charge ,0.5, Triple Sec,Fl Oz
Rattlesnake Cocktail,1.0, Egg White,Fl Oz
Ramos Fizz,1.0, Egg White,Fl Oz
San Francisco,0.75, Sweet Vermouth,Fl Oz
Sand-Martini Cocktail,1.5, Sweet Vermouth,Fl Oz
Sake Martini (Sakini),3.0, Gin,Fl Oz
Lemon Crush,1.5, Citrus-flavored vodka,Fl Oz
Rye Whiskey Cocktail,1.0, Powdered Sugar,Fl Oz
Leaves Of Grass,0.5, Old Tom gin,Fl Oz
Widow's Dream,1.0, Whole Egg,Fl Oz
Whiskey Flip,1.0, Powdered Sugar,Fl Oz
L.A. Sunrise,1.0, Creme de banana,Fl Oz
White Rose Cocktail,1.0, Orange Juice,Fl Oz
White Plush,1.0, Milk,Fl Oz
White Elephant,1.0, Sweet Vermouth,Fl Oz
Whiskey Toddy (cold),2.0, Water,Fl Oz
Kretchma Cocktail,1.0, White creme de cacao,Fl Oz
Whiskey Skin,1,boiling water,garnish
Whiskey Milk Punch,2.0, Blended whiskey,Fl Oz
Katana,1.5, Vodka,Fl Oz
Ethel Duffy Cocktail,0.75, White creme de menthe,Fl Oz
Daiquiri,0.75, Fresh Lime Juice,Fl Oz
Wembley Cocktail,1.5, Gin,Fl Oz
