name,glass,glass-size,instructions
Smoked Margarita,Old-Fashioned Glass,6 to 8 ounces,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.
Sloe Tequila,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.
Queen Elizabeth Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Silk Stockings,Cocktail Glass,6 or more ounces,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.
Orchid Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Orange Milk Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.
Orange Gin Rickey,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.
Orange Gin Highball,Highball Glass,7 to 10 ounces,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir."
Orange Gin Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Orange Gin Collins,Collins Glass,14 to 16 ounces,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws."
Sidewinder,Collins Glass,14 to 16 ounces,Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.
Orange Blossom Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Shady Lady,Highball Glass,7 to 10 ounces,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.
Cherry Blossom,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.
The Sfozando,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add orange twist.
Napoleon Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Moulin Rouge Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain cocktail glass.
Sea Of Cortez,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Satin Sheets,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Santana Sling,Collins Glass,14 to 16 ounces,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.
Rosita,Old-Fashioned Glass,6 to 8 ounces,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.
Mariposa Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Margarita Cocktail,Cocktail Glass,6 or more ounces,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. "
The Refuge,Cocktail Glass,6 or more ounces,Shake with ice. Strain into chilled cocktail glass.
Manhattan Cocktail (dry),Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with an olive.
Mamie Taylor,Collins Glass,14 to 16 ounces,Fill collins glass with ginger ale and ice. Stir.
Quetzalcoatl,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add grapefruit twist.
Zero Mint,Cocktail Glass,6 or more ounces,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.
Purple Pancho,Cocktail Glass,6 or more ounces,Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.
Midnight Express,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and pour into ice-filled old-fashioned glass.
London Special Cocktail,Champagne Flute,6 to 8 ounces,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.
Mary Pickford Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Charles Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Martinique Rose,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Mariposa,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Mandeville,Old-Fashioned Glass,6 to 8 ounces,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.
K.C.B. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add twist of lemon peel.
Malmaison,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.
Mai-Tai (Trader Vic Version),Old-Fashioned Glass,6 to 8 ounces,"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry."
Jersey Lightning Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lumination,Champagne Flute,6 to 8 ounces,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Add lemon twist.
Jamaica Glow Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lounge Lizard,Collins Glass,14 to 16 ounces,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with lime.
Jack-in-the-Box Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Irish Whisky Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with an olive.
Look Out Below,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Little Princess Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Little Devil Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Champs Elysees Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Hop Toad Cocktail ,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Level headed Cocktail,Brandy Snifter,8 to 12 ounces,Shake with ice and strain into snifter.
La Vita Dulce,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Top with cinnamon.
Hole-in-One Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Ko Adang,Collins Glass,14 to 16 ounces,Shake with ice and strain into ice-filled Collins glass. Garnish with lime.
Knickerbocker Special Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with pineapple.
Hair Raiser Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Green Opal Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jamaican Ginger,Collins Glass,14 to 16 ounces,Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with lime.
Green Dragon Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Grasshopper Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jamaican Crawler,Collins Glass,14 to 16 ounces,Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.
Golden Slipper Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Float an unbroken egg yolk on top.
Jade,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Jacqueline,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Jack Sparrow Flip,Highball Glass,7 to 10 ounces,Shake without ice. Then shake with ice and strain into highball glass. Top with nutmeg.
Irresistible,Cocktail Glass,6 or more ounces,Shake and strain into cocktail glass. Add lemon twist.
Carroll Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add cherry.
Hush and Wonder,Cocktail Glass,6 or more ounces,Pour creme de violette into chilled cocktail glass and swirl to coat; discard excess liqueur. Shake remaining ingredients with ice and strain into glass.
Hurricane Leah,Hurricane Glass,14 to 20 ounces,"Pour ingredients, in order given, into ice-filled hurricane glass and stir. Garnish with orange wheel."
Gimlet Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Hurricane,Hurricane Glass,14 to 20 ounces,Shake with ice and strain into ice-filled hurricane glass. Garnish with orange and cherry.
Hop Toad,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
The Holy Roller,Cocktail Glass,6 or more ounces,Shake first five ingredients with ice. Strain into chilled cocktail glass. Top with Champagne or sparkling wine. Garnish with mint.
Hemingway's Nog,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Top with nutmeg.
Flying Scotchman Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Flying Grasshopper Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Havana Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Harvest Nectar,Beer Mug,10 to 12 ounces,Shake with ice and strain into ice-filled beer mug.
Fancy Brandy Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Fallen Angel Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
The Poncho,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add cherry.
Hai Karate,Collins Glass,14 to 16 ounces,Shake with ice and strain into ice-filled Collins glass. Garnish with cherry/orange flag.
Cara Sposa,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Traditional Martini (Dry),Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Pina Agave,Cocktail Glass,6 or more ounces,Muddle 2 cucumber slices in mixing glass. Add the next four ingredients. Shake with ice and strain into chilled cocktail glass. Top with soda and garnish with cucumber slice.
Grande Guignol,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Pancho Villa,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with grapefruit twist.
Paloma (Natural),Collins Glass,14 to 16 ounces,Pour tequila and grapefruit juice into ice-filled Collins glass. Fill with soda water and stir briefly. Garnish with lime wedge.
Golden Friendship,Collins Glass,14 to 16 ounces,"Stir first three ingredients in ice-filled Collins glass with ice, then fill with ginger ale. Garnish with orange and cherry."
Paloma,Collins Glass,14 to 16 ounces,Pour tequila into ice-filled Collins glass. Fill glass with soda and stir briefly. Garnish with lime wedge.
Pacific Sunshine,Hurricane Glass,14 to 20 ounces,Rim chilled hurricane or parfait glass with lemon and salt; reserve lemon. Shake remaining ingredients with ice in mixing glass. Pour with ice into glass. Garnish with reserved lemon wheel.
Golden Eclipse,Cocktail Glass,6 or more ounces,Shake first four ingredients with ice. Strain into chilled cocktail glass. Top with cider. Garnish with apple wedge perched on glass rim.
Diplomat Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a half slice of lemon and a cherry.
Oldest Temptation,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Flame lemon twist and add.
Ginger Grapefruit Rickey,Highball Glass,7 to 10 ounces,Shake first four ingredients with ice. Strain into ice-filled highball glass and top with soda water.
Calvados Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Daiquiri Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
The Oaxaca Old-Fashioned,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into chilled old-fashioned glass. Flame orange twist and add.
Cuban Special Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Decorate with stick of pineapple and a cherry.
Gaugin,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with 1 cup crushed ice in blender on low speed. Serve in chilled old-fashioned glass. Add cherry.
The Nomad South,Old-Fashioned Glass,6 to 8 ounces,Shake well with ice and strain into ice-filled old-fashioned glass.
Creole Lady Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with one green and one red cherry.
No. 8,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with lemon twist.
Fog Cutter,Collins Glass,14 to 16 ounces,Shake first six ingredients with ice and strain into ice-filled Collins glass. Top with sherry.
Mexicola,Collins Glass,14 to 16 ounces,Pour tequila and lime juice into ice-filled Collins glass. Fill with cola and stir.
Floridita No. 3,Champagne Flute,6 to 8 ounces,Shake with ice and strain into chilled champagne flute. Garnish with lime wheel.
Mexican Monk,Cocktail Glass,6 or more ounces,Stir well with ice and strain into chilled cocktail glass. Add lemon twist.
Floridita No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lime twist.
Mexican Madras,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass. Garnish with orange.
Cadiz,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Chocolate Soldier Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Fireman's Sour,Old-Fashioned Glass,6 to 8 ounces,"Shake first four ingredients with ice and strain into chilled old-fashioned glass. Fill with soda water, if desired. Garnish with lemon and cherry."
Fat Like Buddha,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.
Cherry Blossom Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass with its rim moistened with cherry liqueur and dipped into powdered sugar. Add a Maraschino cherry.
Fair-and-Warmer Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Chelsea Sidecar Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Mexican Firing Squad,Highball Glass,7 to 10 ounces,Shake and strain into ice-filled highball glass. Garnish with lime.
Mexicana,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
El Presidente Cocktail No. 2,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Margarita Tequila,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients and ice and strain into glass.
Lillypad,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with blood orange wheel.
X. Y. Z. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
La Ultima Palabra,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
La Perla,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Bull's Milk,Collins Glass,14 to 16 ounces,Shake with ice and strain into chilled Collins glass. Top with nutmeg and cinnamon.
La Bomba,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime wedge and sugar. Combine next four ingredients with ice and shake briefly. Pour with ice into glass. Add grenadine and garnish with lime wheel.
Jinx Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Flame grapefruit twist and add.
The Interesting Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Hot Pants,Old-Fashioned Glass,6 to 8 ounces,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice. Strain into glass.
High Plains Drifter No. 1,Cocktail Glass,6 or more ounces,Swirl Campari in chilled cocktail glass to coat inside; discard excess Campari. Shake remaining ingredients with ice and strain into glass.
Hairy Sunrise,Collins Glass,14 to 16 ounces,Shake first four ingredients with ice. Strain into ice-filled Collins glass. Float grenadine on top. Garnish with lime.
Guadalajara,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Frostbite,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Top with nutmeg.
Flower Power,Cocktail Glass,6 or more ounces,Shake without ice. Then shake with ice and strain into chilled cocktail glass.
Cablegram Highball,Highball Glass,7 to 10 ounces,Stir with ice cubes in highball glass and fill with ginger ale.
Cabaret Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
Bulla's Eye,Highball Glass,7 to 10 ounces,"Stir brandy and hard cider in highball glass. Add ice, fill with ginger ale, and stir again."
El Oso (The Bear),Cocktail Glass,6 or more ounces,Stir with ice. Drop dehydrated orange wheel into old-fashioned glass and add ice. Strain cocktail into glass.
El Ni_o,Old-Fashioned Glass,6 to 8 ounces,"Muddle lime, strawberry, and syrup in mixing glass. Add tequila and rose water and ice. Shake briefly and strain into ice-filled oldfashioned glass."
El Molino,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Bucks Fizz,Collins Glass,14 to 16 ounces,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with champagne, and stir very gently."
Dirty Daisy,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass. Garnish with lime wheel.
Diablo,Collins Glass,14 to 16 ounces,Shake first three ingredients with ice. Strain into ice-filled Collins glass. Top with ginger ale. Garnish with lime.
Count Camillo's Paloma,Collins Glass,14 to 16 ounces,Pour ingredients into Collins glass and stir briefly. Fill with ice. Garnish with rosemary.
Company B,Cocktail Glass,6 or more ounces,Muddle whole strawberry in mixing glass. Add remaining ingredients. Shake with ice and strain through fine wire sieve into chilled cocktail glass. Garnish with strawberry slice.
Chupa Cabra,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Chinchona,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange twist.
Chapala,Hurricane Glass,14 to 20 ounces,"Shake and strain into hurricane glass. Fill glass with crushed ice. Garnish with orange blossoms, if using, and orange wedge."
Bulldog Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Boston Sidecar Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Catalina Margarita,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Camino Del Ray,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Cactus Berry,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and pour into glass.
Bolero Cocktail,Cocktail Glass,6 or more ounces,Stir well with cracked ice and strain into cocktail glass.
Bum's Rush,Collins Glass,14 to 16 ounces,Shake with ice and strain into ice-filled Collins glass. Garnish with lime.
Brave Bull,Old-Fashioned Glass,6 to 8 ounces,Pour into ice-filled old-fashioned glass and stir. Add lemon twist.
Blue Margarita,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime juice and salt. Shake remaining ingredients with ice and strain into glass.
Bloody Maria,Old-Fashioned Glass,6 to 8 ounces,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon wheel.
Pineapple Dream Cocktail,Cocktail Glass,6 or more ounces,Shake well with cracked ice and strain into 3 oz. cocktail glass.
Big Red Hooter,Collins Glass,14 to 16 ounces,Pour tequila and amaretto into ice-filled Collins glass. Fill with pineapple juice and top with grenadine. Add cherry. Serve with straw.
Blood Bronx Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Bravo,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into chilled old-fashioned glass. Add grapefruit twist.
Amante Picante,Cocktail Glass,6 or more ounces,Muddle 2 cucumber slices and cilantro in mixing glass. Add remaining ingredients. Shake with ice and double-strain into chilled cocktail glass. Garnish with cucumber.
Brunswick Street Cocktail,Cocktail Glass,6 or more ounces,Shake without ice. Add ice and shake again. Strain into chilled cocktail glass. Top with nutmeg.
Black Hawk Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
Alamo Splash,Collins Glass,14 to 16 ounces,Pour first three ingredients into ice-filled Collins glass. Top with lemon-lime soda and stir.
Betsy Ross Cocktail,Cocktail Glass,6 or more ounces,Stir with cracked ice and strain into cocktail glass.
Bermuda Rose Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. 
Yokahama Romance,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add rose petal.
Yale Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Xanthia Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Woodstock,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Wolf's Bite,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Barbary Coast Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
The Winkle,Cocktail Glass,6 or more ounces,Muddle sage in mixing glass. Add remaining ingredients. Shake with ice and double-strain into chilled cocktail glass. Add lemon twist.
The Wink,Old-Fashioned Glass,6 to 8 ounces,Rinse a chilled old-fashioned glass with absinthe and pour out excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with a wink.
Will Rogers,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Brandy Vermouth Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
White Spider,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
White Lady,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Western Rose,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
May Blosson Fizz,Highball Glass,7 to 10 ounces,Shake well with cracked ice and strain into 7 oz. highball glass. Fill with carbonated water and stir.
Wembly Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Apple Pie Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. 
Water Lily,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist.
Wallis Blue Cocktail,Old-Fashioned Glass,6 to 8 ounces,Rim old-fashioned glass with lime and sugar. Fill with ice. Shake remaining ingredients with ice and strain into glass.
Minnehaha Cocktail,Cocktail Glass,6 or more ounces,Shake well with cracked ice and strain into 4 oz. cocktail glass.
Wallick Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Waikiki Beachcomber,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Vow Of Silence,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
