name,glass,glass-size,instructions
Millionaire Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Academic Review,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Milk Punch,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass. Sprinkle nutmeg on top.
Merry Widow Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
May Blossom Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Mary Garden Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
19th Century,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Manila Fizz,Highball Glass,7 to 10 ounces,Lemon Shake with ice and strain into highball glass over two ice cubes.
1626,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass. Garnish with cherry.
Maracuya Mosquito,Collins Glass,14 to 16 ounces,Muddle 4 basil leaves in mixing glass. Add remaining ingredients. Shake with ice. Double-strain through wire sieve into crushed ice- filled Collins glass. Garnish with a basil leaf.
Madras,Highball Glass,7 to 10 ounces,Build in order given into ice-filled highball glass. Squeeze lime and add.
Absinthe Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lychee Lucy,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lycheepineapple garnish.
Vodka Martini,,,serve with an olive. 
The Loop,Old-Fashioned Glass,6 to 8 ounces,Shake ingredients with ice. Pour into chilled old-fashioned glass. Garnish with chocolate grated on top.
Long Island Iced Tea,Highball Glass,7 to 10 ounces,"Shake ingredients, except cola, with ice and pour with ice into highball glass. Add cola for color. Add lemon."
Fallen Leaves,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
L'italienne,Cocktail Glass,6 or more ounces,Stir and strain into chilled cocktail glass.
Rum Dubonnet,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Ruby Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Limoncello Manzanilla Marmalade Sour,Cocktail Glass,6 or more ounces,Shake with ice and double-strain into chilled cocktail glass. Add orange twist.
Royal Purple Punch,Punch Cup,3 to 4 ounces,Pour two bottles (750-ml size) claret or red wine and two large bottles ginger ale over ice cubes in punch bowl. Stir well. Float thin slices of lemon studded with cloves on top. Serve in punch glasses.
Royal Gin Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Royal Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Royal Clover Club Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Lights On The Plaza,Cocktail Glass,6 or more ounces,"Muddle cucumbers, lemon juice, and syrup in mixing glass. Add vodka, raspberry liqueur, and ice and shake. Double-strain into chilled cocktail glass. Top with sparkling wine. Garnish with raspberry-cucumber skewer."
Rococo,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Rock & Rye Cooler,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass over ice.
Rock & Rye Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Le Paradini,Cocktail Glass,6 or more ounces,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with Champagne.
Red Swizzle,Collins Glass,14 to 16 ounces,"Make the same as Gin Swizzle (see page 99) and add one tablespoon of grenadine. If desired, rum, brandy, or whiskey may be substituted for the gin."
Lemon Drop,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice. Strain into glass. Squeeze lemon wedge and add.
Rebel Charge ,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Add orange slice.
Rattlesnake Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Ramos Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
San Francisco,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
Sand-Martini Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Sake Martini (Sakini),Cocktail Glass,6 or more ounces,"Stir with ice, strain into 3- or 4-oz. cocktail glass and serve with an olive."
Lemon Crush,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice and strain into glass.
Rye Whiskey Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
Leaves Of Grass,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into ice-filled old-fashioned glass. Add celery stick.
Widow's Dream,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.
Whiskey Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
